Driver,GridPosition,Year,Stint,EventName,LapNumber,LapTime_in_sec,Sector1Time_in_sec,Sector2Time_in_sec,Sector3Time_in_sec,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TrackTemp,Humidity,Pressure,WindDirection,WindSpeed,nGear,Throttle,DRS,encodedCompound,encodedDriver,encodedEventName
ALB,14.0,2024,1.0,Emilia Romagna Grand Prix,8,84.1655,25.99271428571429,29.017749999999996,28.31225,211.125,254.0,278.0,282.375,MEDIUM,43.4,51.0,1007.2,138,1.8,8,100,14,3,0,8
ALB,14.0,2024,1.0,Japanese Grand Prix,1,,,,,,,,,SOFT,39.4,44.0,1012.5,179,2.1,7,104,1,4,0,10
ALB,14.0,2024,1.0,Miami Grand Prix,10,95.7821,32.52733333333334,35.9224,26.565400000000004,206.88888888888889,181.2,280.0,325.1,MEDIUM,46.4,57.0,1017.0,166,3.3,8,100,14,3,0,12
ALB,14.0,2024,2.0,Chinese Grand Prix,14,110.10914285714286,29.854357142857147,33.00607142857143,47.248714285714286,260.0769230769231,241.92857142857142,244.6153846153846,306.35714285714283,MEDIUM,32.2,65.0,1011.9,149,1.0,8,100,14,3,0,6
ALB,14.0,2024,2.0,Emilia Romagna Grand Prix,1,,60.351000000000006,47.746,54.951,121.0,128.0,,155.0,HARD,43.4,51.0,1007.2,138,1.8,8,100,14,0,0,8
ALB,14.0,2024,2.0,Miami Grand Prix,43,97.37358139534884,33.44948837209302,36.96318604651163,26.960906976744184,204.625,175.53488372093022,274.85714285714283,319.90697674418607,HARD,46.4,57.0,1017.0,166,3.3,8,100,14,0,0,12
ALB,14.0,2024,3.0,Chinese Grand Prix,33,110.16830303030304,29.337757575757575,33.170272727272724,47.66027272727273,258.0,254.54545454545453,248.78787878787878,282.57575757575756,HARD,32.2,65.0,1011.9,149,1.0,8,100,14,0,0,6
ALB,14.0,2024,3.0,Emilia Romagna Grand Prix,14,84.60307142857143,27.895285714285716,28.80185714285714,27.90592857142857,210.42857142857142,254.14285714285714,279.2307692307692,282.14285714285717,MEDIUM,43.4,51.0,1007.2,138,1.8,8,100,14,3,0,8
ALB,14.0,2024,3.0,Miami Grand Prix,4,95.2705,34.932,34.6195,25.718999999999998,215.25,185.5,280.75,318.5,SOFT,46.4,57.0,1017.0,166,3.3,8,100,14,4,0,12
ALB,14.0,2024,4.0,Emilia Romagna Grand Prix,5,90.5132,32.6428,29.344,28.5264,213.25,255.0,278.0,287.4,MEDIUM,43.4,51.0,1007.2,138,1.8,8,100,14,3,0,8
ALB,14.0,2024,5.0,Emilia Romagna Grand Prix,23,83.23252173913045,26.86304347826087,28.579608695652173,27.78986956521739,215.22222222222223,256.6521739130435,279.8636363636364,279.60869565217394,MEDIUM,43.4,51.0,1007.2,138,1.8,8,100,14,3,0,8
ALB,16.0,2024,1.0,Austrian Grand Prix,12,72.66625,17.56118181818182,32.26525,22.3395,315.0,224.91666666666666,276.90909090909093,303.5833333333333,MEDIUM,46.2,36.0,932.9,272,1.8,8,100,14,3,0,1
ALB,16.0,2024,2.0,Austrian Grand Prix,27,72.62644444444445,18.47066666666667,32.25,21.90577777777778,301.17391304347825,225.0,272.11538461538464,299.0740740740741,HARD,46.2,36.0,932.9,272,1.8,8,100,14,0,0,1
